                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4079,                0.75959,                 1.0604,                0.73954,                0.71482,                0.66599,                0.27727,                 2.2146,                0.96772,                 1.4818,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.3656,                0.73715,                 1.0648,                0.59369,                0.60752,                0.50342,                 0.2102,                 2.4679,                 1.0402,                 1.6304,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.378,                0.74792,                 1.0581,                0.64056,                0.60815,                0.54264,                0.20824,                 2.4275,                 1.0345,                 1.6052,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.2978,                 0.7352,                 1.0608,                0.58508,                0.65429,                0.53651,                0.23483,                  2.334,                0.99954,                 1.5588,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.3297,                0.72009,                 1.0505,                0.68721,                0.70815,                0.62703,                0.24813,                 2.2583,                0.95334,                 1.4907,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.3444,                0.72897,                 1.0528,                0.71482,                0.73571,                0.63118,                0.23873,                 2.2543,                0.95332,                 1.5007,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.2951,                0.71395,                 1.0384,                   0.73,                0.73512,                0.66491,                0.24115,                 2.2657,                 0.9562,                 1.5311,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.2947,                0.74032,                  1.063,                0.66862,                0.63429,                0.58417,                0.22422,                  2.284,                0.96455,                 1.5694,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.3309,                0.72747,                 1.0611,                0.65591,                0.66355,                0.58796,                0.23089,                 2.3325,                0.97474,                 1.5845,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.3283,                0.73646,                 1.0567,                 0.7202,                   0.65,                0.62672,                0.24907,                 2.2373,                0.96383,                 1.5261,              0.0006603,              0.0006603,              0.0006603
